Model,Macro_F1_mean,Macro_F1_std,Macro_F1_min,Macro_F1_max,Balanced_Acc_mean,Balanced_Acc_std,Balanced_Acc_min,Balanced_Acc_max,LogLoss_mean,LogLoss_std,LogLoss_min,LogLoss_max,Brier_mean,Brier_std,Brier_min,Brier_max,Precision_CONSTRAINED_NON_APPLICANT_mean,Precision_CONSTRAINED_NON_APPLICANT_std,Precision_CONSTRAINED_NON_APPLICANT_min,Precision_CONSTRAINED_NON_APPLICANT_max,Recall_CONSTRAINED_NON_APPLICANT_mean,Recall_CONSTRAINED_NON_APPLICANT_std,Recall_CONSTRAINED_NON_APPLICANT_min,Recall_CONSTRAINED_NON_APPLICANT_max,F1_CONSTRAINED_NON_APPLICANT_mean,F1_CONSTRAINED_NON_APPLICANT_std,F1_CONSTRAINED_NON_APPLICANT_min,F1_CONSTRAINED_NON_APPLICANT_max,Precision_CREDIT_APPLICANT_mean,Precision_CREDIT_APPLICANT_std,Precision_CREDIT_APPLICANT_min,Precision_CREDIT_APPLICANT_max,Recall_CREDIT_APPLICANT_mean,Recall_CREDIT_APPLICANT_std,Recall_CREDIT_APPLICANT_min,Recall_CREDIT_APPLICANT_max,F1_CREDIT_APPLICANT_mean,F1_CREDIT_APPLICANT_std,F1_CREDIT_APPLICANT_min,F1_CREDIT_APPLICANT_max,Precision_NO_FINANCING_NEED_mean,Precision_NO_FINANCING_NEED_std,Precision_NO_FINANCING_NEED_min,Precision_NO_FINANCING_NEED_max,Recall_NO_FINANCING_NEED_mean,Recall_NO_FINANCING_NEED_std,Recall_NO_FINANCING_NEED_min,Recall_NO_FINANCING_NEED_max,F1_NO_FINANCING_NEED_mean,F1_NO_FINANCING_NEED_std,F1_NO_FINANCING_NEED_min,F1_NO_FINANCING_NEED_max,Repetition_mean,Repetition_std,Repetition_min,Repetition_max
CB,0.5792886237519344,0.006403539591112173,0.571643379075149,0.588444744594897,0.5645946391238906,0.0055847279043341,0.5585722073878939,0.5729584789486707,0.8668039146147075,0.008510468221278293,0.8584018497487573,0.8797716392768293,0.5188067107416103,0.004936127697488615,0.5133744665434502,0.5265335745550831,0.603083560801565,0.013114234879503632,0.5827067669172933,0.6150943396226415,0.5698630136986301,0.042263659641027046,0.5308219178082192,0.636986301369863,0.5853400607746652,0.02281902432477235,0.5555555555555556,0.6169154228855721,0.6256110156246956,0.021568077419108152,0.5882352941176471,0.6410256410256411,0.43193277310924366,0.017425580969182963,0.42016806722689076,0.46218487394957986,0.5108791314966001,0.01658918777993965,0.49019607843137253,0.5365853658536586,0.5986803986591671,0.013612207872597445,0.5858585858585859,0.6211699164345403,0.6919881305637983,0.023590037880536225,0.6617210682492581,0.7270029673590505,0.6416466789845376,0.008988477773429662,0.6330150068212824,0.6568364611260054,3.0,1.5811388300841898,1,5
EBM,0.5824655947274436,0.004966908162189059,0.5737164649186051,0.585641871356157,0.565131253916143,0.005817398819048664,0.5548736831426201,0.5687268525555826,0.8634235147946896,0.005839077466473875,0.854863007351229,0.8694244404474912,0.5151716026925481,0.0024986660809901287,0.5130887479339127,0.5194597704468925,0.584846565018295,0.011204780287933066,0.5699658703071673,0.597864768683274,0.5856164383561644,0.019523551799642786,0.571917808219178,0.6198630136986302,0.5851300564845887,0.013210910671987795,0.5709401709401709,0.6063651591289783,0.6653332278088948,0.02328536077616317,0.6463414634146342,0.7012987012987013,0.4302521008403361,0.024786354964290127,0.40336134453781514,0.453781512605042,0.5222112153124949,0.021328079405024562,0.49740932642487046,0.5510204081632653,0.6049922670498695,0.010481615273194097,0.5974025974025974,0.6233062330623306,0.6795252225519288,0.005551420455154209,0.6735905044510386,0.685459940652819,0.6400555123852474,0.006667531409015929,0.634965034965035,0.6515580736543909,3.0,1.5811388300841898,1,5
LR,0.5761308191696064,0.006010168826387704,0.5714832576000777,0.5831835629690746,0.5642741629800979,0.007352628345168781,0.5574692541135798,0.5738910945866905,0.8844416574116185,0.00723786563789924,0.8763676619476263,0.8949730049417466,0.5312660783467533,0.005140984928060339,0.5271983834062587,0.5402592059767798,0.5828303090206775,0.017715993404163476,0.5563380281690141,0.5992647058823529,0.5561643835616439,0.01382645838231939,0.541095890410959,0.5753424657534246,0.569057237690074,0.012509723488559735,0.5486111111111112,0.5803108808290155,0.6130438898821213,0.028116943703265902,0.5773195876288659,0.651685393258427,0.47731092436974787,0.016164188287118793,0.453781512605042,0.4957983193277311,0.5364102869460637,0.015485049426525895,0.5185185185185185,0.5576923076923077,0.590367630176352,0.008106140187021315,0.5786666666666667,0.5989159891598916,0.6593471810089021,0.010574795063029926,0.6439169139465876,0.6706231454005934,0.6229249328726816,0.007939491326799334,0.6095505617977528,0.6302521008403361,3.0,1.5811388300841898,1,5
